Date,"Double Support Time" (%),"Six-Minute Walk" (m),"Step Length" (in),"Walking Asymmetry" (%),"Walking Speed" (mi/hr)
"1/3/26","29.7-31.2","-","16.54-25.2","4.5","1.23-2.3"
"1/4/26","27.5-32.3","-","17.72-26.77","13.5","1.52-2.46"
"1/5/26","24-32","-","16.54-32.68","17","1.21-4.54"
"1/6/26","27.5-32.2","-","14.96-44.88","3.46","1.39-3.04"
"1/7/26","25.6-31.8","-","16.93-32.68","1.62","1.66-3.22"
"1/8/26","25.8-31.1","-","15.35-36.22","1.2","1.52-3.31"
"1/9/26","28-32.2","500","16.54-30.71","2.43","1.63-3.13"
"1/10/26","28.8-30.9","-","18.5-24.8","8.5","1.54-2.42"
"1/11/26","27.5-31.5","-","19.29-29.13","3","1.79-2.93"
"1/12/26","28.1-32.1","-","16.14-30.71","-","1.19-3.13"
"1/13/26","27.5-30.7","-","23.23-30.31","0.67","2.13-3"
"1/14/26","27.6-32.2","-","18.11-31.5","3","1.77-3.22"
"1/15/26","29-30.4","-","17.72-29.92","2.67","1.61-2.98"
"1/16/26","27.4-29.7","500","20.87-30.31","0.33","1.97-3.09"
"1/17/26","-","-","21.26","-","1.83"
"1/18/26","27.7-31.4","-","14.96-29.13","2","1.3-2.8"
"1/19/26","29.3-32.4","-","18.5-24.8","-","1.66-2.46"
"1/20/26","26.2-30.6","-","22.44-31.89","-","2.21-3.33"
"1/21/26","27.8-31","-","20.87-31.1","5","1.88-3.2"
"1/22/26","26.2-32.2","-","19.29-38.98","0.17","1.83-3.02"
"1/23/26","26.8-31.3","-","19.69-30.31","8.31","1.66-3.04"
"1/24/26","28.4-31.9","500","16.54-28.35","-","1.32-2.86"
"1/25/26","27.8-32.6","-","17.72-29.13","13.5","1.25-2.75"
"1/26/26","27.3-31.3","-","20.47-29.92","0.22","1.97-3.02"
"1/27/26","26-31.4","-","20.08-31.89","0.75","1.88-3.36"
"1/28/26","29.1-30.2","-","19.69-26.38","-","1.66-2.48"
"1/29/26","23.8-32","-","18.5-33.46","4.5","1.61-3.44"
"1/30/26","24.6-33.6","-","16.93-32.68","4.17","1.41-3.49"
"1/31/26","30.1-31.4","483","21.26-22.44","-","1.3-2.1"
"2/1/26","28.4-32.2","-","18.11-29.92","2.6","1.59-3.09"
"2/2/26","26.6-29.6","-","11.02-29.92","-","1.36-3.06"
"2/3/26","29.9","-","20.47-25.2","-","1.9-2.35"
